,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Channel,Date,Start time,Programme Title,End time,Dur min,'000 (U/W) Children,Share Children,TVR Children,'000 (U/W) 55+ Adults,Share 55+ Adults,TVR 55+ Adults,'000 (U/W) 16-34 Adults,Share 16-34 Adults,TVR 16-34 Adults,'000 (U/W) 45-54 Adults,Share 45-54 Adults,TVR 45-54 Adults,'000 (U/W) 16-44 Adults,Share 16-44 Adults,TVR 16-44 Adults
1419,tt0094819,buster,Buster,1988,1988-12-01,"Comedy, Crime, Drama",91.0,UK,"English, Spanish",David Green,Colin Shindler,The Movie Group,"Phil Collins, Julie Walters, Larry Lamb, Stephanie Lawrence, Ellie Beaven, Michael Attwell, Ralph Brown, Christopher Ellison, Sheila Hancock, Martin Jarvis, Clive Wood, Anthony Quayle, Michael Byrne, Harold Innocent, Rupert Vansittart","Based on the story of Ronald Christopher ""Buster"" Edwards (Phil Collins), one of the thieves involved in ""The Great Train Robbery"" of 1963.",5.8,3216.0,,$ 540000,$ 540000,,28.0,7.0,BBC 2,20/06/2014,24:06:07,buster,25:37:11,91.0,0.0,0.0,0.0,4.2,0.2539,0.0236,0.1,0.0076,0.00066,0.5,0.0442,0.00564,7.4,0.3397,0.03186
1420,tt0094819,buster,Buster,1988,1988-12-01,"Comedy, Crime, Drama",91.0,UK,"English, Spanish",David Green,Colin Shindler,The Movie Group,"Phil Collins, Julie Walters, Larry Lamb, Stephanie Lawrence, Ellie Beaven, Michael Attwell, Ralph Brown, Christopher Ellison, Sheila Hancock, Martin Jarvis, Clive Wood, Anthony Quayle, Michael Byrne, Harold Innocent, Rupert Vansittart","Based on the story of Ronald Christopher ""Buster"" Edwards (Phil Collins), one of the thieves involved in ""The Great Train Robbery"" of 1963.",5.8,3216.0,,$ 540000,$ 540000,,28.0,7.0,BBC 2,24/12/2014,24:16:32,buster,25:47:36,91.0,2.0,0.7893,0.02294,195.4,10.7198,1.09499,46.1,3.2938,0.30739,151.5,11.0391,1.70858,96.4,3.9907,0.4176
1421,tt0094819,buster,Buster,1988,1988-12-01,"Comedy, Crime, Drama",91.0,UK,"English, Spanish",David Green,Colin Shindler,The Movie Group,"Phil Collins, Julie Walters, Larry Lamb, Stephanie Lawrence, Ellie Beaven, Michael Attwell, Ralph Brown, Christopher Ellison, Sheila Hancock, Martin Jarvis, Clive Wood, Anthony Quayle, Michael Byrne, Harold Innocent, Rupert Vansittart","Based on the story of Ronald Christopher ""Buster"" Edwards (Phil Collins), one of the thieves involved in ""The Great Train Robbery"" of 1963.",5.8,3216.0,,$ 540000,$ 540000,,28.0,7.0,BBC 1,14/05/2016,24:38:21,buster,26:09:25,91.0,9.3,12.1252,0.1044,229.4,16.487,1.23626,58.3,7.9439,0.39956,178.0,18.2377,1.97317,172.6,13.0708,0.76338
1422,tt0094889,cocktail,Cocktail,1988,1989-01-18,"Comedy, Drama, Romance",104.0,"USA, Canada","English, Spanish Sign Language",Roger Donaldson,Heywood Gould,Touchstone Pictures,"Tom Cruise, Bryan Brown, Elisabeth Shue, Lisa Banes, Laurence Luckinbill, Kelly Lynch, Gina Gershon, Ron Dean, Robert Donley, Ellen Foley, Andrea Doven, Chris Owens, Louis Ferreira, John Graham, Richard Thorn",A talented New York City bartender takes a job at a bar in Jamaica and falls in love.,5.9,77870.0,$ 20000000,$ 78222753,$ 171504781,12.0,130.0,60.0,CH4,14/04/2013,23:53:09,cocktail,25:37:49,104.0,14.1,11.8687,0.16575,53.4,2.7603,0.30516,66.3,5.8005,0.44919,36.0,3.4055,0.41199,115.8,5.7196,0.50469
1423,tt0094889,cocktail,Cocktail,1988,1989-01-18,"Comedy, Drama, Romance",104.0,"USA, Canada","English, Spanish Sign Language",Roger Donaldson,Heywood Gould,Touchstone Pictures,"Tom Cruise, Bryan Brown, Elisabeth Shue, Lisa Banes, Laurence Luckinbill, Kelly Lynch, Gina Gershon, Ron Dean, Robert Donley, Ellen Foley, Andrea Doven, Chris Owens, Louis Ferreira, John Graham, Richard Thorn",A talented New York City bartender takes a job at a bar in Jamaica and falls in love.,5.9,77870.0,$ 20000000,$ 78222753,$ 171504781,12.0,130.0,60.0,CH4,10/01/2015,23:53:24,cocktail,25:46:09,112.0,3.0,0.9891,0.03454,77.4,3.5749,0.43136,83.1,6.0772,0.56111,90.0,6.1534,1.01637,181.5,6.9532,0.79341
1424,tt1821373,cocktail,Cocktail,2010,2010-10-22,"Drama, Musical, Thriller",111.0,India,Malayalam,Arun Kumar,"Anoop Menon, Shyam Menon",Galaxy Films,"Jayasurya, Anoop Menon, Samvrutha Sunil, Innocent, Mammukoya, Fahadh Faasil, Kani Kusruti",The lives of an architect and his wife are turned upside down when a stranger kidnaps their daughter and blackmails them to do some crimes for him.,7.2,782.0,INR 20000000,,,,4.0,,CH4,14/04/2013,23:53:09,cocktail,25:37:49,104.0,14.1,11.8687,0.16575,53.4,2.7603,0.30516,66.3,5.8005,0.44919,36.0,3.4055,0.41199,115.8,5.7196,0.50469
1425,tt1821373,cocktail,Cocktail,2010,2010-10-22,"Drama, Musical, Thriller",111.0,India,Malayalam,Arun Kumar,"Anoop Menon, Shyam Menon",Galaxy Films,"Jayasurya, Anoop Menon, Samvrutha Sunil, Innocent, Mammukoya, Fahadh Faasil, Kani Kusruti",The lives of an architect and his wife are turned upside down when a stranger kidnaps their daughter and blackmails them to do some crimes for him.,7.2,782.0,INR 20000000,,,,4.0,,CH4,10/01/2015,23:53:24,cocktail,25:46:09,112.0,3.0,0.9891,0.03454,77.4,3.5749,0.43136,83.1,6.0772,0.56111,90.0,6.1534,1.01637,181.5,6.9532,0.79341
1426,tt2168910,cocktail,Cocktail,2012,2012-07-13,"Comedy, Drama, Romance",146.0,"UK, India",Hindi,Homi Adajania,"Imtiaz Ali, Sajid Ali",Cocktail Film,"Saif Ali Khan, Deepika Padukone, Diana Penty, Dimple Kapadia, Boman Irani, Yasmin Tippett, Lottie Dosanjh, Tina Desai, Louise Bangay, Manoj Pahwa, Mia Uyeda, Tim Parker, Ray Burnet, Shailesh Dubey, Dean Bardini","A love triangle between a guy and two girls, who are best friends but the complete opposite of one another.",6.3,13100.0,$ 7980000,$ 1227789,$ 2724695,,64.0,33.0,CH4,14/04/2013,23:53:09,cocktail,25:37:49,104.0,14.1,11.8687,0.16575,53.4,2.7603,0.30516,66.3,5.8005,0.44919,36.0,3.4055,0.41199,115.8,5.7196,0.50469
1427,tt2168910,cocktail,Cocktail,2012,2012-07-13,"Comedy, Drama, Romance",146.0,"UK, India",Hindi,Homi Adajania,"Imtiaz Ali, Sajid Ali",Cocktail Film,"Saif Ali Khan, Deepika Padukone, Diana Penty, Dimple Kapadia, Boman Irani, Yasmin Tippett, Lottie Dosanjh, Tina Desai, Louise Bangay, Manoj Pahwa, Mia Uyeda, Tim Parker, Ray Burnet, Shailesh Dubey, Dean Bardini","A love triangle between a guy and two girls, who are best friends but the complete opposite of one another.",6.3,13100.0,$ 7980000,$ 1227789,$ 2724695,,64.0,33.0,CH4,10/01/2015,23:53:24,cocktail,25:46:09,112.0,3.0,0.9891,0.03454,77.4,3.5749,0.43136,83.1,6.0772,0.56111,90.0,6.1534,1.01637,181.5,6.9532,0.79341
1434,tt0095174,frantic,Frantic,1988,1988-09-27,"Crime, Drama, Mystery",120.0,"USA, France","English, French",Roman Polanski,"Roman Polanski, Gérard Brach",Warner Bros.,"Harrison Ford, Betty Buckley, Emmanuelle Seigner, Djiby Soumare, Dominique Virton, Gérard Klein, Stéphane D'Audeville, Laurent Spielvogel, Alain Doutey, Jacques Ciron, Roch Leibovici, Louise Vincent, Patrice Melennec, Ella Jaroszewicz, Joëlle Lagneau","In a hotel room in Paris, a doctor comes out of the shower and finds that his wife has disappeared. He soon finds himself caught up in a world of intrigue, espionage, gangsters, drugs and murder.",6.9,48334.0,$ 20000000,$ 17637950,$ 17637950,66.0,167.0,61.0,Sky 1,23/02/2013,22:00:38,frantic,24:15:16,134.0,1.7,0.1724,0.02005,22.8,0.3812,0.13048,0.5,0.0155,0.00338,16.8,0.5663,0.19246,13.2,0.2375,0.05734
1435,tt0095174,frantic,Frantic,1988,1988-09-27,"Crime, Drama, Mystery",120.0,"USA, France","English, French",Roman Polanski,"Roman Polanski, Gérard Brach",Warner Bros.,"Harrison Ford, Betty Buckley, Emmanuelle Seigner, Djiby Soumare, Dominique Virton, Gérard Klein, Stéphane D'Audeville, Laurent Spielvogel, Alain Doutey, Jacques Ciron, Roch Leibovici, Louise Vincent, Patrice Melennec, Ella Jaroszewicz, Joëlle Lagneau","In a hotel room in Paris, a doctor comes out of the shower and finds that his wife has disappeared. He soon finds himself caught up in a world of intrigue, espionage, gangsters, drugs and murder.",6.9,48334.0,$ 20000000,$ 17637950,$ 17637950,66.0,167.0,61.0,Sky 1,26/02/2013,22:00:13,frantic,24:15:21,135.0,2.3,0.4384,0.02712,39.2,0.6889,0.22434,9.5,0.3191,0.06428,4.9,0.1827,0.05613,25.0,0.4794,0.1086
1436,tt0095956,rambo iii,Rambo III,1988,1988-12-15,"Action, Adventure",102.0,USA,"English, Russian",Peter MacDonald,"David Morrell, Sylvester Stallone",Carolco Pictures,"Sylvester Stallone, Richard Crenna, Marc de Jonge, Kurtwood Smith, Spyros Fokas, Sasson Gabai, Doudi Shoua, Randy Raney, Marcus Gilbert, Alon Aboutboul, Mahmoud Assadollahi, Yosef Shiloach, Harold Diamond, Mati Seri, Hany Said El Deen",Rambo mounts a one-man mission to rescue his friend Colonel Trautman from the clutches of the formidable invading Soviet forces in Afghanistan.,5.8,119641.0,$ 63000000,$ 53715611,$ 189015611,36.0,231.0,120.0,ITV,24/06/2014,22:38:50,rambo iii,24:28:26,109.0,19.5,5.1208,0.22291,292.0,6.8889,1.64082,101.8,4.6499,0.67682,130.5,5.8948,1.47142,203.3,5.2122,0.87543
